facility_name,Final_Score,Relevance,tender_score,matched_name,match_score,registered_business_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
Alcoa Anglesea Power Station,0.60,High,2.20,exmouth power station,76.47,ALCOA OF AUSTRALIA LIMITED,VIC,Anglesea,"POWER STATION, CAMP RD",3230,2922,Waste Remediation and Materials Recovery Services,The mining activities and electricity generation ceased in August 2015. The site has continued decommissioning works of the power station and earthmoving in the Mine.,93004879298.00,4879298.00,http://www.alcoa.com/australia/en/home.asp,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00004359
Eaglehawk Landfill,0.60,High,2.20,landfill gas and power,65.00,GREATER BENDIGO CITY COUNCIL,VIC,Eaglehawk,UPPER CALIFORNIA GULLY RD,3556,2921,Waste Treatment and Disposal Services,Waste Disposal Facility,74149638164.00,,http://www.bendigo.vic.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006957
COLAC,0.59,High,2.20,australian lamb colac,100.00,ASSOCIATED KILN DRIERS PTY LIMITED,VIC,Colac,7-15 FOREST ST,3250,1411,Log Sawmilling,Timber mill,34004341048.00,4341048.00,http://www.akd.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030663
Bowser Landfill,0.59,High,2.21,landfill operations,70.59,WANGARATTA RURAL CITY COUNCIL,VIC,Bowser,COLEMAN RD,3678,2921,Waste Treatment and Disposal Services,Landfill,67784981354.00,,http://www.wangaratta.vic.gov.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00007012
QENOS PTY LTD,0.59,High,2.22,qenos,100.00,QENOS PTY LTD,VIC,Altona,CNR MAIDSTONE ST & KOROROIT CREEK RD,3018,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Production of polyethylene. Steam cracking of ethane and LPG.,62054196771.00,54196771.00,http://www.qenos.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004342
Thomas Foods International Stawell PTY LTD,0.58,High,2.20,thomas foods international stawell,100.00,THOMAS FOODS INTERNATIONAL STAWELL PTY LIMITED,VIC,Stawell,46 ABATTOIR RD,3380,1111,Meat Processing,"Sheep, lamb and goat abattoir",69004967800.00,4967800.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004425
Infrabuild Steel,0.58,High,0.00,,58.06,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,VIC,Laverton North,105-123 DOHERTYS RD,3026,2110,Iron Smelting and Steel Manufacturing,Secondary steel manufacture,89069426955.00,69426955.00,https://www.infrabuild.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004152
MCCORMACK DEMBY TIMBER PTY LTD,0.58,High,2.20,mccormack demby timber,100.00,MCCORMACK DEMBY TIMBER PTY LTD,VIC,Morwell,2-6 RAIL RD ,3840,1411,Log Sawmilling,Log sawmilling,30124794618.00,124794618.00,,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2011/jurisdiction-facility/00029290
Hallam Rd Landfill,0.57,High,2.20,landfill gas and power,65.00,VEOLIA RECYCLING & RECOVERY PTY LTD,VIC,Hampton Park,274-310 HALLAM RD,3976,2921,Waste Treatment and Disposal Services,Landfilling and Resource Recovery,70002902650.00,2902650.00,http://www.veolia.com/anz,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006936
POTTERS INDUSTRIES PTY LTD,0.57,High,2.20,potters industries,100.00,POTTERS INDUSTRIES PTY LTD,VIC,Dandenong South,9 RHUR ST,3175,2010,Glass and Glass Product Manufacturing,Sodium silicate glass manufacture,38000096293.00,96293.00,http://www.pottersindustries.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004084
Altona Manufacturing Plant,0.57,High,2.25,mcneil manufacturing,78.79,TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED,VIC,Altona North,282-320 GRIEVE PDE,3025,2311,Motor Vehicle Manufacturing,Vehicle manufacture,64009686097.00,9686097.00,http://www.toyota.com.au,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2018/jurisdiction-facility/00004046
Anne Caudle Centre Cogeneration Plant,0.57,High,2.20,osborne cogeneration,75.00,VH OPERATIONS P/L,VIC,Bendigo,100 BARNARD ST,3550,2611,Fossil Fuel Electricity Generation,Electricity and process steam generation (cogeneration).,72095427820.00,95427820.00,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00004036
Oztek,0.57,High,2.24,oztek holdings,100.00,OZTEK HOLDINGS PTY LTD,VIC,Barnawartha,158 PLEMINGS RD,3688,1111,Meat Processing,Meat fat rendering,83080871343.00,80871343.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004318
Bairnsdale Power Station,0.57,High,2.20,exmouth power station,76.47,ALINTA DEBO PTY LTD,VIC,Bairnsdale,45 POWERSTATION RD,3875,2611,Fossil Fuel Electricity Generation,Generation of electricity,66079246423.00,79246423.00,https://www.alintaenergy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00019270
Tabro Meat,0.56,High,2.20,tabro meat,100.00,TABRO MEAT PTY LTD,VIC,Lance Creek,2140 KORUMBURRA-WONTHAGGI RD,3995,1111,Meat Processing,Meat processing,85005517019.00,5517019.00,,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2013/jurisdiction-facility/00004390
Nestle Foods,0.56,High,2.21,national foods,69.23,NESTLE AUSTRALIA LTD,VIC,Tongala,HENDERSON RD,3621,1131,Milk and Cream Processing,"Manufacturer of liquid condensed, evaporated and cream milk products -THIS FACILITY DOESNT BELONG TO NESTLE ANY LONGER-was sold in July 2022, RS",77000011316.00,11316.00,http://www.nestle.com.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00004327
Wollert Plant,0.56,High,0.00,,60.00,AUSTRAL BRICKS (VIC) PTY LTD,VIC,Wollert,BRICK MAKERS DR,3750,2021,Clay Brick Manufacturing,Clay brick manufacturing,64125934867.00,125934867.00,https://www.australbricks.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029061
Bairnsdale Regional Landfill,0.56,High,1.36,cairns regional council,70.59,EAST GIPPSLAND SHIRE COUNCIL,VIC,Bairnsdale,"BAIRNSDALE LANDFILL, JOHNSTONS RD",3875,2921,Waste Treatment and Disposal Services,Landfill,81957967765.00,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00026919
Alfred Hospital Cogeneration Plant,0.56,High,2.20,osborne cogeneration,75.00,WORLEY POWER SERVICES PTY LTD,VIC,Melbourne,ALFRED HOSPITAL COMMERCIAL RD,3004,2611,Fossil Fuel Electricity Generation,Electricity and process steam generation (cogeneration).,50112723181.00,112723181.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004021
AUSTRALIAN MEAT GROUP DANDENONG,0.55,High,2.37,australian meat group,100.00,AUSTRALIAN MEAT GROUP PTY LTD,VIC,Dandenong,342 HAMMOND RD,3175,1111,Meat Processing,Meat processing,75168396316.00,168396316.00,http://www.amg.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004104
CSL Behring (Australia) Pty Ltd,0.55,High,1.24,csl,100.00,CSL LIMITED,VIC,Broadmeadows,189-209 CAMP RD,3047,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Manufacture of pharmaceutical products of biological origin
Code - 1841 ",99051588348.00,51588348.00,http://www.cslbehring.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004717
Burra Foods Factory,0.54,High,2.20,burra foods,100.00,BURRA FOODS PTY LTD,VIC,Korumburra,47 STATION ST,3950,1131,Milk and Cream Processing,Dairy product manufacturing,58007119904.00,7119904.00,http://www.burrafoods.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029446
