registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
BRISTILE LTD,Austral Bricks - Chapmans Clay Pit,WA,Keysbrook,LOT 737 FIRNS ROAD,6206,0911,Gravel and Sand Quarrying,Mining of non-metallic minerals,19056541096,056541096,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2003/jurisdiction-facility/WA0228
BRISTILE OPERATIONS P/L,Austral Bricks - Judge & Farrell Red & White Clay Pit,WA,Bakers Hill,LOT 2039 CHITTY RD,6562,0919,Other Construction Material Mining,Mining of non Metallic Minerals,34079711603,079711603,http://www.australbricks.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2006/jurisdiction-facility/WA0229
BRITTON BROS P/L,BRITTON BROS P/L,TAS,Smithton,3 BRITTONS RD,7330,1413,Timber Resawing and Dressing,"Sawmilling, timber drying and processing",28009478586,009478586,http://www.brittontimbers.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2024/jurisdiction-facility/TAS+28
BROADLEA COAL MANAGEMENT P/L FOR VALE AUSTRALIA (CQ) P/L & NEBO CENTRAL COAL P/L,Broadlea North Coal Project,QLD,Via Coppabella,Peak Downs Highway,4741,0600,Coal Mining,Open Cut Coal Mine. Coal washing and dispatch from Carborough Downs Mine CHPP and train loader.,13104885994,104885994,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BCM001
BROMELTON QUARRY PTY LTD,Bromelton,QLD,Bromelton,325 Sandy Creek Road,4285,0911,Gravel and Sand Quarrying,"Sand quarrying, washing or screening",97144558903,144558903,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q056BQP001
BROMPTON LODGE P/L,BROMPTON LODGE P/L,VIC,Cranbourne South,1050 WESTERNPORT HWY,3977,0171,Poultry Farming (Meat),Poultry raising,93004458833,004458833,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00026912
BROOKLYN HUB PTY LTD,Old Geelong Road landfill,VIC,Brooklyn,174 OLD GEELONG RD,3012,2921,Waste Treatment and Disposal Services,Former landfill - historical waste landfill operations have ceased,,609296808,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006985
BROWN WOOD PANELS PTY. LTD.,BROWN WOOD PANELS P/L,SA,Camden Park,107-115 MOORINGE AV,5038,1493,Veneer and Plywood Manufacturing,Processors of Natural Timber Veneer and Radiata Pine Plywood Production,29007888566,007888566,http://www.bwp.com.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2012/jurisdiction-facility/SA0310
BROWNES FOODS OPERATIONS PTY LIMITED,Brownes Foods Operations – Balcatta,WA,Balcatta,22 GEDDES ST,6021,1131,Milk and Cream Processing,Manufacture and distribution of dairy products,60146849881,146849881,http://www.brownesdairy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0296
BULGA COAL MANAGEMENT PTY LTD,Bulga Coal Surface and Underground Operations,NSW,Singleton,567 Broke Road,2330,0600,Coal Mining,Open cut and underground coal mining and coal washing and train loading,48055534391,055534391,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/337
BULLI TILE & BRICK PTY LTD,Bulli Tile & Brick,NSW,Bulli,Quilkey Place,2516,2029,Other Ceramic Product Manufacturing,Manufacture and supply of clay building bricks and pavers and refractory products.,41000067578,000067578,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2004/jurisdiction-facility/32
BULONG OPERATIONS PTY LTD,AVALON,WA,Kalgoorlie,Bulong Road,6430,2139,Other Basic Non-Ferrous Metal Manufacturing,Open pit mining and mineral processing of nickel and cobalt ores to produce refined nickel and cobalt.,99008930881,008930881,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2003/jurisdiction-facility/WA0385
BUMA AUSTRALIA PTY LTD,Commodore Coal Mine,QLD,Millmerran,Kooroongarra Rd,4357,0600,Coal Mining,"BUMA Australia is responsible for the design and operation of the open cut coal mine including safety, environment, exploration, mine planning and statutory responsibilites.",28649634579,649634579,https://buma.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020ROM001
BUNBURY HARVEY REGIONAL COUNCIL,Stanley Road Waste Management Facility,WA,Wellesley,51 Stanley Road,6233,2921,Waste Treatment and Disposal Services,Waste Transfer Station,79907325881,,http://www.bhrc.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1305
BURGESS FURNITURE P/L,BURGESS FURNITURE P/L,VIC,Preston,45 RAGLAN ST,3072,2511,Wooden Furniture and Upholstered Seat Manufacturing,Furniture manufacturing,41004925991,004925991,http://www.burgessfurniture.com.au,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2004/jurisdiction-facility/00016648
BURKELLY HOLDINGS PTY LTD,Raintree County Poultry,WA,Serpentine,322 Hopeland Rd,6125,0171,Poultry Farming (Meat),Chicken raising for meat production,,084148032,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0690
BURNIE CITY COUNCIL,Burnie Waste Management Centre,TAS,Burnie,MOOREVILLE RD,7321,2921,Waste Treatment and Disposal Services,Municipal landfill,29846979690,,http://www.burnie.net/,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2017/jurisdiction-facility/TAS+285
BURRA FOODS PTY LTD,Burra Foods Factory,VIC,Korumburra,47 STATION ST,3950,1131,Milk and Cream Processing,Dairy product manufacturing,58007119904,007119904,http://www.burrafoods.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029446
BURTON COAL PTY LTD,Peabody Burton Mine,QLD,Nebo,OFF SUTTOR DEVELOPMENT RD,4742,0600,Coal Mining,"Care, Maintenance and Rehabilitation of closed open cut coal mine.",96064159977,064159977,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BCP001
BURU ENERGY LTD,Blina Oil Field,WA,Mount Hardman,"Blina Station, 100km East of Derby",6765,0700,Oil and Gas Extraction,Production of Crude Oil,71130651437,130651437,http://www.buruenergy.com,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2012/jurisdiction-facility/WA0953
BUTTAI GRAVEL PTY LTD,Buttai Quarry,NSW,Buttai,George Both Drive,2323,0990,Other Non-Metallic Mineral Mining and Quarrying,"Crushing, grinding and separating of conglomerate material for construction purposes.",47003386570,003386570,http://www.daracom.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1382
BYERWEN COAL PTY LTD,Byerwen Mine,QLD,Suttor,Wollombi Road,4742,0600,Coal Mining,Coal mining,64133357632,133357632,www.qcoal.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BYE001
C3 AUSTRALIA PTY LTD,C3 Albany,WA,Milpura,15 Anthony St,6330,1412,Wood Chipping,Wood chipping,49145302629,145302629,https://linxcc.com.au/linx-cargo-care-group/c3/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1536
