registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
MIDFIELD PROTEIN SOLUTIONS PTY LTD,Midfield Protein Solutions,VIC,Warrnambool,24 SCOTT STREET,3280,1111,Meat Processing,Meat Processing,76619284883,619284883,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030841
MIDLAND BRICK PTY LTD,Midland Brick Middle Swan,WA,Middle Swan,321 Great Northern Hwy,6056,2021,Clay Brick Manufacturing,Clay & Concrete brick and paver manufacturing,93635664710,635664710,https://midlandbrick.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0119
MIDLAND MILK P/L,Dairy Farmers Shepparton,VIC,Shepparton,123 VAUGHAN ST,3630,1131,Milk and Cream Processing,Milk processing,75004317364,004317364,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00009134
MIKES PLASTIC BAGS PTY LTD,Mikes Plastic Bags Pty Ltd,VIC,Moorabbin,8-10 FREIGHTER RD,3189,1611,Printing,Plastic Bag Manufacture,69005957620,005957620,,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2014/jurisdiction-facility/00029414
MILDURA RURAL CITY COUNCIL,Koorlong Landfill,VIC,Koorlong,TWENTIETH ST,3501,2921,Waste Treatment and Disposal Services,Landfill - closed 2001,42498937037,,http://www.mrcc.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00006974
MILLMERRAN OPERATING CO PTY LTD,Millmerran Power,QLD,Millmerran,MOFFAT RESERVE ROCKY CREEK RD,4357,2611,Fossil Fuel Electricity Generation,Power Generation from fossil fuel combustion,68083536181,083536181,https://www.genuity.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019MIL001
MILORA AGRICULTURAL TRUST,Silverleaf,QLD,Milora,763 Roadvale Harrisville Road,4309,0171,Poultry Farming (Meat),Meat Chicken Facility,35689893177,,,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q086ILB005
MINARA RESOURCES PTY LIMITED,Murrin Murrin Calcrete Operations,WA,Laverton,LEONORA-LAVERTON HWY VIA,6440,0990,Other Non-Metallic Mineral Mining and Quarrying,"Mining, crushing, and screening of calcrete ore",23060370783,,http://www.minara.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0011
MINDARIE REGIONAL COUNCIL,Tamala Park Landfill,WA,Mindarie,Lot 9504 Marmion Ave,6030,2921,Waste Treatment and Disposal Services,Landfill Facility - Class 2 and Class 3 Putrescible Landfill,17015003687,,http://www.mrc.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0279
MINERAL RESOURCES LIMITED,Bald Hill Tantalum-Lithium,WA,Widgiemooltha,Binneringie Rd,6443,0990,Other Non-Metallic Mineral Mining and Quarrying,Tantalum and Lithium mining,33118549910,118549910,https://www.mineralresources.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1556
MINERAL TECHNOLOGIES PTY LTD,Mineral Technologies Pty Ltd,QLD,Carrara,"City Links Industrial Estate, 11 Elysium Road",4211,2462,Mining and Construction Machinery Manufacturing,Manufacture of mineral processing equipment,52105309260,105309260,http://mineraltechnologies.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q041ROM001
MINERVA FOODS AUSTRALIA PTY LTD,Minerva Foods Australia Pty Ltd - Myrup,WA,Myrup,36155 Coolgardie-Esperance Hwy,6450,1111,Meat Processing,Meat processing,,652859811,https://minervafoods.com,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2023/jurisdiction-facility/WA1725
MISSAY P/L,Geelong Treated Timber,VIC,Fyansford,315 HAMILTON HWY,3221,1413,Timber Resawing and Dressing,"Retail, wholesale and manufacture of treated pine timber products.",81007205414,007205414,http://www.atpgeelong.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00021352
MITCHELL SHIRE COUNCIL,Kilmore Landfill,VIC,Kilmore,WALDERS RD,3764,2921,Waste Treatment and Disposal Services,Landfill,27352592142,,http://www.mitchellshire.vic.gov.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2012/jurisdiction-facility/00006998
MITSUBISHI MOTORS AUST LTD,Mitsubishi - Tonsley Park,SA,Clovelly Park,1284 SOUTH RD,5042,2311,Motor Vehicle Manufacturing,Motor Vehicle manufacturing.,53007870395,007870395,http://www.mitsubishi-motors.com.au,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2008/jurisdiction-facility/SA0044
MOBIL EXPLORATION & PRODUCING AUSTRALIA PTY LTD,Jansz-3 Production Test,WA,Via Karratha,- Offshore,6714,0700,Oil and Gas Extraction,Jansz-3 Production Test,81004588827,004588827,http://www.exxonmobil.com.au,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2004/jurisdiction-facility/WA0696
MOIRA SHIRE COUNCIL,Cobram Landfill,VIC,Cobram,PYE RD,3644,2921,Waste Treatment and Disposal Services,Landfill operation,20538141700,,,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00006929
MOMENTIVE SPECIALTY CHEMICALS PTY LTD,MOMENTIVE SPECIALTY CHEMICALS PTY LTD,VIC,Laverton North,2-8 JAMES ST,3026,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Manufacture of formaldehyde based resins,32004271827,004271827,,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2012/jurisdiction-facility/00004116
MON DESIR PTY LTD,Mon Desir Pty Ltd,WA,Wattle Grove,111 Victoria Road,6107,0171,Poultry Farming (Meat),Chicken raising for meat production,68009187517,009187517,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2007/jurisdiction-facility/WA0717
MONARCH NOMINEES PTY LTD,MONARCH NOMINEES PTY LTD,QLD,Rochedale,1000 Priestdale Road,4156,0171,Poultry Farming (Meat),Meat Chicken Facility,40974001558,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB057
MONDELEZ AUSTRALIA PTY LTD,Mondelez Burnie,TAS,Burnie,129-141 Bass Highway,7320,1131,Milk and Cream Processing,Milk Processing,78004551473,004551473,https://www.mondelezinternational.com/australia/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2024/jurisdiction-facility/TAS+465
MONIER PGH HOLDINGS LTD,PGH Bricks and Pavers,QLD,Toowoomba,213 MCDOUGAL ST,4350,2029,Other Ceramic Product Manufacturing,Manufacture of clay pavers and special shapes .,55008631356,008631356,http://www.csr.com.au/Corporate/default.asp,2001/2002,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2002/jurisdiction-facility/Q001PGH004
MONTAUBAN PTY LTD,533 Cryna Road,QLD,Beaudesert,533 Cryna Road,4285,0171,Poultry Farming (Meat),Meat Chicken Facility,38010745310,010745310,,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2023/jurisdiction-facility/Q086ILB008
MONTORO ROOFING PTY LIMITED,LUTUM Roofing,SA,Pooraka,1161 MAIN NORTH RD,5095,2034,Concrete Product Manufacturing,Production of masonry roofing tiles,34002944694,002944694,http://www.lutum.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0300
MOOLARBEN COAL OPERATIONS PTY LTD,Yancoal - Moolarben,NSW,Ulan,4250 Ulan Road,2850,0600,Coal Mining,Coal mining,59077939569,077939569,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1246
MOORABOOL SHIRE COUNCIL,Bacchus Marsh,VIC,Maddingley,NORTH SIDE OF KERRS RD,3340,2921,Waste Treatment and Disposal Services,Landfill,29352754296,,http://www.moorabool.vic.gov.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2009/jurisdiction-facility/00006984
MORGAN CEMENT INTERNATIONAL PTY LTD,Morgan Cement Port Kembla Plant,NSW,Port Kembla,Gate 7 Foreshore Road,2505,2031,Cement and Lime Manufacturing,Cement production,29075095822,075095822,https://www.morgancementcommunity.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1534
MORGANITE AUSTRALIA PTY LTD,Furnace Industries,WA,Malaga,17 Montgomery Way,6090,2029,Other Ceramic Product Manufacturing,Production of industrial ceramics,82000037776,000037776,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0066
MOUNT BARKER CHICKEN,Barker Creek,WA,Mount Barker,375 Watermans Rd,6324,0171,Poultry Farming (Meat),Chicken farm,92008919579,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1703
MOUNT ISA MINES LIMITED,Mica Creek Power Station,QLD,Mount Isa,POWER HOUSE RD,4825,2611,Fossil Fuel Electricity Generation,Electricity generation using mineral gas including coal gas,87009661447,009661447,http://www.mountisamines.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019CSE003
MOUNT THORLEY COAL LOADING LTD,Mount Thorley Coal Loader Operations,NSW,Mount Thorley Via Singleton,Mount Thorley Road,2330,0600,Coal Mining,Black Coal Handling,29002027223,002027223,http://www.yancoal.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/511
MRI (AUST) P/L,MRI (AUST) P/L,VIC,Campbellfield,20-24 DENNIS ST,3061,2921,Waste Treatment and Disposal Services,"Manufacture of stannous chloride (SnCl2). Computer refurbishment. Recyling of computers, cathode ray tubes, telecommunication and power transmission equipment. Battery storage for subsequent recycling.",76007391335,007391335,http://www.mri.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00004192
MT MARROW BLUE METAL QUARRIES PTY LTD,Mount Marrow,QLD,Mt Marrow Via Haigslea ,237 Mt Marrow Quarry Rd ,4306,0911,Gravel and Sand Quarrying,"Sand quarrying, washing or screening",64004879930,004879930,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q056BMT001
MT OWEN PTY LIMITED,Glencore Coal - Glendell (Open Cut) Mine,NSW,Ravensworth Via Singleton,246 Hebden Road,2330,0600,Coal Mining,Open cut coal mining,83003827361,003827361,https://www.glencore.com.au/operations-and-projects/coal/current-operations/mt-owen-glendell-open-cut,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1145
MULGILDIE SAWMILLING CO PTY LTD,Mulgildie Sawmilling Co Pty Ltd,QLD,Mulgildie,HUGHES ST,4630,1411,Log Sawmilling,Sawmilling/Timber Preservation,99009738014,,,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2008/jurisdiction-facility/Q039TOR001
MULLER SAWMILLS PTY LTD,MULLER SAWMILLS PTY LTD,QLD,Benarkin,TAROMEO,4306,1411,Log Sawmilling,Sawmilling and drying,45009734105,009734105,,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2005/jurisdiction-facility/Q039MUS001
MURRAY BASIN TITANIUM P/L,Mildura Operations,VIC,Mildura,2/53 EIGHTH ST,3500,0990,Other Non-Metallic Mineral Mining and Quarrying,"Heavy mineral concentrate is processed to produce rutile, zircon and ilmenite.",66082497827,082497827,http://www.cablesands.com.au/mbt,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00016680
MURRAY BRIDGE BACON PTY LTD,MURRAY BRIDGE BACON PTY LTD,SA,Murray Bridge,283 Flagstaff Road,5253,1111,Meat Processing,Pork abattoir and boning room,23078020694,078020694,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0501
MURRAY GOULBURN CO-OP CO LTD,Leitchville Site,VIC,Leitchville,KING ALBERT AV,3567,1131,Milk and Cream Processing,Manufacture of cheddar cheese and and whey processing.,23004277089,004277089,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00004593
MURRAY GOULBURN CO-OPERATIVE CO LIMITED,Cobram Boilerhouse,VIC,Cobram,KAROOK ST,3644,2611,Fossil Fuel Electricity Generation,The 60 MW boiler house was modified during the 2014/15 financial year to burn natural gas instead of briquettes.,23004277089,004277089,,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00020298
MUSWELLBROOK COAL COMPANY LIMITED,Muswellbrook Coal Company,NSW,Muswellbrook,Muswellbrook Coal Muscle Creek Rd,2333,0600,Coal Mining,Coal mining.,32000009521,000009521,http://www.idemitsu.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/546
MYRTEZA HOLDINGS PTY LTD,Myrteza Farm,QLD,Mareeba,300 Gilmore Road,4880,0171,Poultry Farming (Meat),Meat Chicken Facility,23668475983,668475983,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB072
NAMBUCCA SHIRE COUNCIL,Nambucca Waste Management Facility,NSW,Nambucca Heads,Old Coast Road,2448,2911,Solid Waste Collection Services,Landfilling of Class 1 municipal solid waste,71323535981,,,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2009/jurisdiction-facility/812
NAMOI MINING PTY LTD,Gunnedah Coal Loader,NSW,Gunnedah,Quia Road,2380,0600,Coal Mining,Train loader for coal,24071158373,071158373,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2003/jurisdiction-facility/901
NARASELL PTY LTD,Junee Abattoir,NSW,Junee,Harefield Road,2663,1111,Meat Processing,Meat processing,56211021320,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/895
NARRABRI COAL OPERATIONS PTY LTD,Narrabri Coal Mine - Baan Baa,NSW,Baan Baa,Kurrajong Creek Road,2390,0600,Coal Mining,Underground coal mining,76107813963,107813963,http://www.whitehavencoal.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1142
NATIONAL CERAMIC INDUSTRIES AUSTRALIA PTY LTD,National Ceramic Industries Rutherford Plant,NSW,Rutherford,175 Racecourse Road,2320,2029,Other Ceramic Product Manufacturing,Manufacture of high quality ceramic tiles,83100467267,100467267,http://www.ncia.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1094
NATIONAL FOODS PTY LIMITED,Dairy Farmers Hexham,NSW,Hexham,189 Maitland Road,2322,1131,Milk and Cream Processing,Milk processing.,65004486631,004486631,http://www.dairyfarmers.com.au,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2011/jurisdiction-facility/426
NATIONAL FORGE LTD,CMI Forge,VIC,Footscray West,465 SOMERVILLE RD,3012,2110,Iron Smelting and Steel Manufacturing,Forging & heat treatment of steel and aluminium automotive parts.,91052470327,052470327,http://www.cmilimited.com.au,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2006/jurisdiction-facility/00006628
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,ENGIE Hazelwood Power Station and Mine,VIC,Morwell,"HAZELWOOD POWER COMPLEX, 1 BRODRIBB RD",3840,2611,Fossil Fuel Electricity Generation,"Up until 31 March 2017, Hazelwood was a nominal rated 1600 MW brown coal fired power station, supplying around 25% of Victoria's Electricity needs and an associated brown coal mine producing approx. 16.0 M t/y of brown coal & moving around 3.1 M m3/yr of overburden. The site ceased Power Station and coal mining operation on 31 March  2017, and is now in the process of demolition and rehabilitation activities. 
",51075257537,075257537,https://engie.com.au/,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2018/jurisdiction-facility/00004337
NC COAL COMPANY PTY LIMITED,Collinsville Coal Mine,QLD,Collinsville,SCOTTSVILLE RD,4804,0600,Coal Mining,Coal mining and processing.,71079862936,079862936,http://www.glencore.com.au/EN/who-we-are/collinsville/Pages/default.aspx,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020COL001
NESTLE AUSTRALIA LTD,Nestle Foods,VIC,Tongala,HENDERSON RD,3621,1131,Milk and Cream Processing,"Manufacturer of liquid condensed, evaporated and cream milk products -THIS FACILITY DOESNT BELONG TO NESTLE ANY LONGER-was sold in July 2022, RS",77000011316,000011316,http://www.nestle.com.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00004327
NEW ACLAND COAL PTY LTD,New Acland Open Cut Coal Mine,QLD,Acland,"NEW ACLAND COAL MINE, ACLAND-MULDU RD",4401,0600,Coal Mining,Open cut coal mining (mining and washing coal),90081022380,081022380,http://www.newhopegroup.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020NAC001
NEW HOPE COLLIERIES P/L,Swanbank Coal Mine,QLD,Swanbank,REDBANK PLAINS RD,4306,0600,Coal Mining,Mining and washing coal (Open cut mining),27009669747,009669747,http://www.newhopecoal.com.au,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2003/jurisdiction-facility/Q020NHC001
NEW LENTON COAL PTY LTD,Lenton JV Burton Mine,QLD,Burton,Off Suttor Development Rd,4742,0600,Coal Mining,Coal mining,48095390079,095390079,https://www.bowencokingcoal.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020NLC001
NEW OAKLEIGH COAL PTY LTD,New Oakleigh Open Cut Coal Mine,QLD,Rosewood,Oakleigh Colliery Rd,4340,0600,Coal Mining,Open cut mining (rehabilitation) ,36055151196,055151196,https://www.bmigroup.com.au/,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q020NOC001
NEW WILKIE ENERGY PTY LTD,Wilkie Creek Coal Mine,QLD,Macalister,1245 MacAlister-Wilkie Creek Road,4406,0600,Coal Mining,Open cut coal mining,93007683454,007683454,http://www.nwe.energy,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020AQC001
NEWCASTLE COAL PTY LTD,Tasman Mine,NSW,Seahampton,George Booth Drive,2286,0600,Coal Mining,Black coal mining,40074900208,074900208,,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2014/jurisdiction-facility/1099
NEWGEN BRAEMAR 2 PTY LTD,Braemar 2 Power Station,QLD,Braemar Via Dalby,Lot 127 Grahams Road,4405,2611,Fossil Fuel Electricity Generation,Electricity Generation,80127501393,127501393,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019NEW001
NEWTOWN TIMBER AND HARDWARE,Whiteline Timber Products,TAS,Mowbray,30-46 Remount Road,7248,1413,Timber Resawing and Dressing,Producer of Dressed Timber,50054046630,,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2010/jurisdiction-facility/TAS+428
NEXEN PETROLEUM AUSTRALIA PTY LIMITED,Buffalo Venture,WA,Wyndham,OFFSHORE FACILITY WA-260-P TIMOR SEA VIA,6740,0700,Oil and Gas Extraction,"The Buffalo Venture is a floating production, storage & offtake (FPSO) vessel. Decommissioned in January 2005.",71086689616,086689616,,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2005/jurisdiction-facility/WA0220
NILLUMBIK SHIRE COUNCIL,Kangaroo Ground Landfill,VIC,Kangaroo Ground,GRAHAM RD,3097,2921,Waste Treatment and Disposal Services,Landfill,64487894794,,http://www.nillumbik.vic.gov.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00006975
NK COLLINS INDUSTRIES PTY LTD,NK COLLINS INDUSTRIES PTY LTD,QLD,Mitchell,Industrial Estate,4465,1411,Log Sawmilling,Sawmilling only,70009716456,009716456,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2007/jurisdiction-facility/Q039NKC005
NOLAN MEATS PTY LTD,Nolan Meats Gympie,QLD,Gympie,171 East Deep Creek Road,4570,1111,Meat Processing,meat processing,81096869304,096869304,https://www.nolan.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q033NOL001
NOOSA SHIRE COUNCIL,Eumundi Landfill,QLD,Doonan,"561 Eumundi Noosa Road,",4562,2921,Waste Treatment and Disposal Services,Landfill,97969214121,,https://www.noosa.qld.gov.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q058MSC008
NORCO CO-OPERATIVE LIMITED,Norco Milk Labrador,QLD,Labrador,Corner Brisbane Rd and Pine Ridge Road,4215,1131,Milk and Cream Processing,Processing and packaging dairy products (including milk& cream),17009717417,,https://www.norco.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q026PAU001
NORSKE SKOG PAPER MILLS (AUSTRALIA) LIMITED,Norske Skog Albury Papermill,NSW,Ettamogah,117 RW Henry Drive,2640,1510,"Pulp, Paper and Paperboard Manufacturing",Processing and pulping of radiata pine and recovered fibre/wastepaper. Newsprint production.,84009477132,009477132,http://www.norskeskog.com,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2020/jurisdiction-facility/101
NORTH EAST REGION WATER CORPORATION,Wangaratta Water Treatment Plant,VIC,Wangaratta , 20  FAITHFUL ST ,3677,2811,Water Supply,Potable water plant,97364605415,,http://www.newater.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00029286
NORTH GOONYELLA COAL MINES LTD,NORTH GOONYELLA COAL MINES LTD,QLD,Nebo,Off Suttor Development Road,4744,0600,Coal Mining,"Underground coalmine, coal prepartion plant and waste disposal (reject from preparation plant)",20010912526,010912526,http://www.ngcoal.com.au/,1999/2000,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2000/jurisdiction-facility/Q020NGC001
NORTH GOONYELLA COAL MINES PTY LTD,Centurion Coal Mine,QLD,Via Glenden,Suttor Development Rd,4743,0600,Coal Mining,Underground coal mining,20010912526,010912526,http://www.peabodyenergy.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020NGP001
NORTH GOONYELLA COAL PROPERTIES PTY. LTD.,Eaglefield Coal Mine,QLD,Nebo,Off Suttor Development Road,4743,0600,Coal Mining,Open Cut Coal Mining,50010879526,010879526,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2004/jurisdiction-facility/Q020NGP002+
NORTHERN ADELAIDE WASTE MANAGEMENT AUTHORITY,NAWMA,SA,Uleybury,SECTION 3302 & 3303  MEDLOW ROAD,5114,2921,Waste Treatment and Disposal Services,Landfill (Balefill) Operations,33781472643,,http://www.nawma.sa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0570
NORTHERN CEMENT LIMITED,Northern Cement Limited-Darwin,NT,Berrimah,Berrimah Road ,0828,2031,Cement and Lime Manufacturing,"Bagging of cement products, grinding of cement clinker, drying of slag.",22009593515,009593515,http://www.adbri.com.au/aboutus.html,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NT/year/2015/jurisdiction-facility/NT522
NORTHERN CO-OPERATIVE MEAT COMPANY LIMITED,Northern Co-Operative Meat Company Abattoir Casino,NSW,Casino,10615 Summerland Way,2470,1111,Meat Processing,"Meat and animal byproducts processing, including rendering",42060208366,,http://www.ncmc-co.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/833
NORTHERN IRON & BRASS FOUNDRY PTY LTD,NIBF,QLD,Wangan,22 Meyer Avenue,4871,2110,Iron Smelting and Steel Manufacturing,Production of Cast Iron water fittings,83078991803,078991803,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q003NIB001
NORTHERN OIL & GAS AUSTRALIA PTY LTD,Northern Endeavour,NT,Via Darwin,OFFSHORE TIMOR SEA,0800,0700,Oil and Gas Extraction,"The Northern Endeavour is a floating production, storage and offloading (FPSO) facility producing oil from the Laminaria and Corallina fields.
NOTE: The NE FPSO has been shut in / not producing since July 2019.",25607646579,607646579,,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NT/year/2017/jurisdiction-facility/NT345
NORTHERN SMELTERS PTY LTD,NORTHERN SMELTERS PTY LTD,QLD,Woodridge,178 North Road,4114,2139,Other Basic Non-Ferrous Metal Manufacturing,Tin Alloy Manufacturing,95009832393,009832393,http://www.northernsmelters.com.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2022/jurisdiction-facility/Q068NSM001
NOTE PRINTING AUSTRALIA LIMITED,CRAIGIEBURN,VIC,Craigieburn,1-9 POTTER ST,3064,1611,Printing,"Manufacturing banknotes, passports and other security documents",86082630671,082630671,http://www.noteprinting.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006120
