facility_name,Emission_Weighted_Score,name_clean,tender_score_exact,matched_name,match_score,tender_score,Emission_Scaled,Tender_Scaled,Final_Score,Relevance
AGL Somerton Power Station,18.21,agl somerton power station,0.00,exmouth power station,76.47,2.20,0.27,0.44,0.32,Medium
Labelmakers - Somerton,16.43,labelmakers somerton,0.00,labelmakers group,78.57,2.25,0.25,0.45,0.31,Medium
Swan Hill Abattoirs,17.26,swan hill abattoirs,0.00,cowra abattoir,66.67,2.20,0.26,0.44,0.31,Medium
M.C. HERD PROPRIETARY LIMITED,16.84,m c herd proprietary,2.20,m c herd proprietary,100.00,2.20,0.25,0.44,0.31,Medium
OVATO PRINT PTY LTD,17.32,ovato print,0.00,pmp print,71.43,2.21,0.26,0.44,0.31,Medium
Ararat Abattoir,17.12,ararat abattoir,0.00,cowra abattoir,75.86,2.20,0.26,0.44,0.31,Medium
GLASSMETAL INDUSTRIES PTY LTD,16.57,glassmetal industries,2.20,glassmetal industries,100.00,2.20,0.25,0.44,0.31,Medium
AIW PRINTING PTY LTD,16.92,aiw printing,2.20,aiw printing,100.00,2.20,0.25,0.44,0.31,Medium
CCL Secure,16.99,ccl secure,2.21,ccl secure,100.00,2.21,0.26,0.44,0.31,Medium
Heytesbury Gas Facility,29.76,heytesbury gas facility,0.00,,56.52,0.00,0.45,0.00,0.31,Medium
Henry Jones Foods - Goulburn Valley Creamery,16.47,henry jones foods goulburn valley creamery,0.00,henry jones foods,100.00,2.20,0.25,0.44,0.31,Medium
PHILLIPS BRICKS & POTTERY PROPRIETARY LIMITED,20.70,phillips bricks and pottery proprietary,1.60,phillips bricks and pottery proprietary,100.00,1.60,0.31,0.32,0.31,Medium
VICTORIA WOOL PROCESSORS (AUST) PTY LTD,16.99,victoria wool processors aust,2.20,victoria wool processors aust,100.00,2.20,0.26,0.44,0.31,Medium
Frew Kyneton Pty Ltd,16.52,frew kyneton,2.20,frew kyneton,100.00,2.20,0.25,0.44,0.31,Medium
Fairfax media Wendouree ACM,16.60,fairfax media wendouree acm,0.00,fairfax media,100.00,2.20,0.25,0.44,0.31,Medium
Ensign Laboratories Pty Ltd,19.82,ensign laboratories,0.00,ensign laboratories proprietary,100.00,1.60,0.30,0.32,0.30,Medium
Carisbrook Landfill,28.40,carisbrook landfill,0.00,,63.16,0.00,0.43,0.00,0.30,Medium
Casey Joint Venture User Group,28.52,casey joint venture user group,0.00,,64.15,0.00,0.43,0.00,0.30,Medium
Beechworth Road Landfill,28.30,beechworth road landfill,0.00,,60.47,0.00,0.43,0.00,0.30,Medium
Viridian Clayton,16.20,viridian clayton,0.00,viridian glass,73.33,2.20,0.24,0.44,0.30,Medium
Nylex Industrial Products,16.37,nylex industrial products,0.00,cmi industrial,83.33,2.21,0.25,0.44,0.30,Medium
Hannanprint Victoria,16.85,hannanprint victoria,2.08,hannanprint victoria,100.00,2.08,0.25,0.42,0.30,Medium
Lancefield Landfill,28.15,lancefield landfill,0.00,,59.26,0.00,0.42,0.00,0.30,Medium
Myrtleford Landfill,28.01,myrtleford landfill,0.00,,63.16,0.00,0.42,0.00,0.29,Medium
Iveco trucks,7.48,iveco trucks,0.00,iveco trucks australia,100.00,3.38,0.11,0.68,0.28,Medium
DANIEL ROBERTSON AUST P/L,18.97,daniel robertson aust p l,0.00,ers aust p l,80.00,1.12,0.29,0.22,0.27,Medium
Mildura Operations,10.76,mildura operations,0.00,hv operations,86.96,2.38,0.16,0.48,0.26,Medium
Buchan,23.87,buchan,0.00,,47.06,0.00,0.36,0.00,0.25,Medium
Geelong Operations,10.58,geelong operations,0.00,glng operations,90.91,2.38,0.16,0.48,0.25,Medium
GEELONG WOOL COMBING LTD,10.01,geelong wool combing,0.00,riverina wool combing,75.00,2.20,0.15,0.44,0.24,Low
CMI Forge,9.24,cmi forge,0.00,overall forge,71.43,2.20,0.14,0.44,0.23,Low
Geelong Cement,21.26,geelong cement,0.00,,60.00,0.00,0.32,0.00,0.22,Low
Sunshine Power Station,8.11,sunshine power station,0.00,exmouth power station,76.47,2.20,0.12,0.44,0.22,Low
