rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
596,OZTEK HOLDINGS PTY LTD,83080871343,1111,50,3,2.24,2.7
597,PENTARCH LOGISTICS PTY LTD,99075432254,1499,111,3,2.24,2.7
598,THE TRUSTEE FOR BERNARDI FAMILY TRUST,60733746478,2021,288,3,2.24,2.7
599,THE TRUSTEE FOR V&V UNIT TRUST AND VERNON WALSH PTY LTD,66258009281,1111,211,3,2.25,2.7
600,AKD NSW PTY LIMITED,38091574060,1411,30,3,2.23,2.69
601,AKD QUEENSLAND PTY LTD,18620713760,1411,72,3,2.23,2.69
602,ALRECO PTY LTD,56132731018,2139,209,3,2.23,2.69
603,BRIDGEWEST PERTH PHARMA PTY LTD,21663385411,1841,16,3,2.22,2.69
604,DERBY INDUSTRIES PTY LTD,86009033612,1111,391,3,2.22,2.69
605,FERRO CORPORATION (AUST) PTY LTD,61000033189,2010,117,3,2.22,2.69
606,NUBRIK PTY LTD,59004028559,2021,150,3,2.22,2.69
607,QENOS PTY LTD,62054196771,1821,24,3,2.22,2.69
608,THE TRUSTEE FOR GERALDTON MEAT EXPORTS TRUST,33404686686,1111,64,3,2.23,2.69
609,THE TRUSTEE FOR SOUTH EAST PINE SALES TRUST,69390152527,1411,64,3,2.23,2.69
610,THE TRUSTEE FOR THE ED MORGAN FAMILY TRUST & THE TRUSTEE FOR THE LUKE MORGAN FAMILY TRUST,95597417453,1413,172,3,2.23,2.69
611,WOODBRAE HOLDINGS PTY LTD,25991891059,1111,46,3,2.23,2.69
612,A.J. BUSH & SONS (MANUFACTURES) PTY LTD,94000058453,1111,12,3,2.2,2.68
613,A.J. BUSH & SONS (YANCO) PTY LTD,43000420299,1111,12,3,2.2,2.68
614,ABBOTT AUSTRALASIA PTY LTD,95000180389,1841,81,3,2.2,2.68
615,ACM PROCESSING PTY LTD,34622519322,1131,16,3,2.2,2.68
616,AIW PRINTING PTY LTD,35093344328,1611,46,3,2.2,2.68
617,ALBEMARLE LITHIUM PTY LTD,14618095471,2139,12,3,2.2,2.68
618,ALDUS-TRONICS PTY LTD,38085318494,1611,15,3,2.2,2.68
619,ALINDARE PTY. LTD.,62062233569,1111,14,3,2.2,2.68
620,ALLEN FOUNDRY COMPANY PTY LTD,61004231814,2110,14,3,2.2,2.68
621,ALPHAPHARM PTY LTD,93002359739,1841,13,3,2.2,2.68
622,ANDREW KOHN PTY LTD,54004889605,1611,19,3,2.2,2.68
623,AUSTICKS PTY LTD,12064136429,1499,17,3,2.2,2.68
624,THE AUSTRAL BRICK CO PTY LTD,52000005550,2021,13,3,2.2,2.68
625,AUSTRAL BRICKS (VIC) PTY LTD,64125934867,2021,13,3,2.2,2.68
626,AUSTRAL BRICKS QLD PTY LTD,62125934858,2021,16,3,2.2,2.68
